,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,699円,141分,100.7%,77件
1,750-799,1705円,134分,101.7%,87件
2,800-849,1885円,124分,102%,101件
3,850-899,567円,128分,100.6%,147件
4,900-949,1739円,129分,101.8%,144件
5,950-999,1424円,125分,101.5%,160件
6,1000-1049,1287円,124分,101.4%,179件
7,1050-1099,927円,125分,101%,190件
8,1100-1149,2460円,123分,102.7%,193件
9,1150-1199,3433円,116分,103.9%,213件
10,1200-1249,1755円,117分,102%,210件
11,1250-1299,1177円,114分,101.4%,252件
12,1300-1349,3391円,108分,104.2%,247件
13,1350-1399,2951円,113分,103.5%,238件
14,1400-1449,3406円,103分,104.4%,231件
15,1450-1499,4105円,98分,105.6%,238件
16,1500-1549,3735円,99分,105%,229件
17,1550-1599,3988円,98分,105.4%,234件
18,1600-1649,4324円,93分,106.2%,208件
19,1650-1699,3156円,90分,104.7%,186件
20,1700-1749,3914円,90分,105.8%,197件
21,1750-1799,4297円,82分,107%,183件
22,1800-1849,4655円,82分,107.6%,176件
23,1850-1899,4673円,79分,107.9%,189件
24,1900-1949,5372円,76分,109.4%,186件
25,1950-1999,5456円,71分,110.3%,150件
26,2000-2049,6060円,73分,111.1%,159件
27,2050-2099,5412円,66分,110.9%,144件
28,2100-2149,7435円,61分,116.2%,134件
29,2150-2199,5175円,60分,111.5%,122件
30,2200-2249,6618円,54分,116.4%,101件
31,2250-2299,5288円,51分,113.9%,122件
32,2300-2349,7340円,45分,121.8%,139件
33,2350-2399,7642円,40分,125.3%,110件
34,2400-2449,7568円,42分,123.8%,103件
35,2450-2499,7128円,44分,121.5%,91件
36,2500-2549,8883円,39分,130.7%,104件
37,2550-2599,8159円,40分,127.2%,98件
38,2600-2649,8904円,37分,131.8%,88件
39,2650-2699,9077円,36分,133.2%,85件
40,2700-2749,9579円,34分,137.1%,83件
41,2750-2799,9830円,31分,142.9%,79件
42,2800-2849,11589円,29分,153.5%,106件
43,2850-2899,12256円,25分,166.4%,84件
44,2900-2949,12366円,22分,174.2%,62件
