,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,100-199,1/603.4,1336円,73分,1091円,234件
1,200-299,1/595.4,1954円,74分,1594円,1242件
2,300-399,1/554,2220円,69分,1923円,2126件
3,400-499,1/548.9,3462円,70分,2948円,2596件
4,500-599,1/518.4,3377円,67分,3033円,2445件
5,600-699,1/467.5,3327円,61分,3279円,2008件
6,700-799,1/433.4,5031円,59分,5084円,1514件
7,800-899,1/381.4,8476円,58分,8713円,1084件
8,900-999,1/320.5,10289円,54分,11435円,698件
9,1000-1099,1/254.3,12761円,50分,15349円,347件
10,1100-1199,1/169.5,13512円,41分,19932円,174件
11,1200-1299,1/103.5,15594円,36分,26210円,60件
